Date,Open,High,Low,Close,Adj Close,Volume
27-12-2021,16937.75,17112.05078,16833.19922,17086.25,17086.25,144800
28-12-2021,17177.59961,17250.25,17161.15039,17233.25,17233.25,176000
29-12-2021,17220.09961,17285.94922,17176.65039,17213.59961,17213.59961,161700
30-12-2021,17201.44922,17264.05078,17146.34961,17203.94922,17203.94922,320800
31-12-2021,17244.5,17400.80078,17238.5,17354.05078,17354.05078,167000
03-01-2022,17387.15039,17646.65039,17383.30078,17625.69922,17625.69922,200500
04-01-2022,17681.40039,17827.59961,17593.55078,17805.25,17805.25,247400
05-01-2022,17820.09961,17944.69922,17748.84961,17925.25,17925.25,251500
06-01-2022,17768.5,17797.94922,17655.55078,17745.90039,17745.90039,236500
07-01-2022,17797.59961,17905,17704.55078,17812.69922,17812.69922,239300
10-01-2022,17913.30078,18017.44922,17879.15039,18003.30078,18003.30078,232400
11-01-2022,17997.75,18081.25,17964.40039,18055.75,18055.75,220200
12-01-2022,18170.40039,18227.94922,18128.80078,18212.34961,18212.34961,245000
13-01-2022,18257,18272.25,18163.80078,18257.80078,18257.80078,303700
14-01-2022,18185,18286.94922,18119.65039,18255.75,18255.75,229500
17-01-2022,18235.65039,18321.55078,18228.75,18308.09961,18308.09961,266700
18-01-2022,18337.19922,18350.94922,18085.90039,18113.05078,18113.05078,227500
19-01-2022,18129.19922,18129.19922,17884.90039,17938.40039,17938.40039,276700
20-01-2022,17921,17943.69922,17648.44922,17757,17757,258100
21-01-2022,17613.69922,17707.59961,17485.84961,17617.15039,17617.15039,277600
24-01-2022,17575.15039,17599.40039,16997.84961,17149.09961,17149.09961,323800
25-01-2022,17001.55078,17309.15039,16836.80078,17277.94922,17277.94922,326500
27-01-2022,17062,17182.5,16866.75,17110.15039,17110.15039,395600
28-01-2022,17208.30078,17373.5,17077.09961,17101.94922,17101.94922,355300
31-01-2022,17301.05078,17410,17264.15039,17339.84961,17339.84961,321700
01-02-2022,17529.44922,17622.40039,17244.55078,17576.84961,17576.84961,386400
02-02-2022,17706.19922,17794.59961,17674.80078,17780,17780,271200
03-02-2022,17767.75,17781.15039,17511.15039,17560.19922,17560.19922,226600
04-02-2022,17590.19922,17617.80078,17462.55078,17516.30078,17516.30078,261400
07-02-2022,17456.30078,17536.75,17119.40039,17213.59961,17213.59961,265000
08-02-2022,17279.84961,17306.44922,17043.65039,17266.75,17266.75,268500
09-02-2022,17370.09961,17477.15039,17339,17463.80078,17463.80078,236400
10-02-2022,17554.09961,17639.44922,17427.15039,17605.84961,17605.84961,273600
11-02-2022,17451,17454.75,17303,17374.75,17374.75,253100
14-02-2022,17076.15039,17099.5,16809.65039,16842.80078,16842.80078,305500
15-02-2022,16933.25,17375,16839.25,17352.44922,17352.44922,298700
16-02-2022,17408.44922,17490.59961,17257.69922,17322.19922,17322.19922,244500
17-02-2022,17396.55078,17442.90039,17235.84961,17304.59961,17304.59961,232100
18-02-2022,17236.05078,17380.80078,17219.19922,17276.30078,17276.30078,189600
21-02-2022,17192.25,17351.05078,17070.69922,17206.65039,17206.65039,215200
22-02-2022,16847.94922,17148.55078,16843.80078,17092.19922,17092.19922,300100
23-02-2022,17194.5,17220.69922,17027.84961,17063.25,17063.25,200200
24-02-2022,16548.90039,16705.25,16203.25,16247.9502,16247.9502,458000
